,Unnamed: 0,season,player,pts,reb,ast
0,2874,2020,Aaron Gordon,894,475,228
7,2881,2020,Alec Burks,993,282,189
23,2897,2020,Andre Drummond,1010,864,152
24,2898,2020,Andre Drummond,870,775,138
28,2902,2020,Andrew Wiggins,1175,274,198
29,2903,2020,Andrew Wiggins,942,219,155
33,2907,2020,Anthony Davis,1618,577,200
44,2918,2020,Bam Adebayo,1146,735,368
46,2920,2020,Ben Simmons,937,444,455
51,2925,2020,Bogdan Bogdanović,924,207,207
52,2926,2020,Bojan Bogdanović,1275,259,131
55,2929,2020,Bradley Beal,1741,242,347
58,2932,2020,Brandon Ingram,1477,380,259
63,2937,2020,Brook Lopez,813,312,99
70,2944,2020,Buddy Hield,1382,328,213
72,2946,2020,CJ McCollum,1556,297,310
80,2954,2020,Caris LeVert,842,189,199
81,2955,2020,Carmelo Anthony,895,368,85
95,2969,2020,Chris Paul,1232,349,472
99,2973,2020,Coby White,859,230,175
102,2976,2020,Collin Sexton,1349,204,192
107,2981,2020,D'Angelo Russell,1039,177,285
114,2988,2020,Damian Lillard,1978,284,530
119,2993,2020,Danilo Gallinari,1160,322,119
130,3004,2020,De'Aaron Fox,1077,196,348
135,3009,2020,DeMar DeRozan,1504,375,380
143,3017,2020,Dennis Schröder,1229,236,262
149,3023,2020,Derrick Rose,904,121,278
154,3028,2020,Devin Booker,1863,297,456
157,3031,2020,Devonte' Graham,1145,212,471
162,3036,2020,Dillon Brooks,1181,243,150
166,3040,2020,Domantas Sabonis,1147,771,310
167,3041,2020,Donovan Mitchell,1655,304,294
179,3053,2020,Duncan Robinson,983,232,102
184,3058,2020,Dāvis Bertāns,834,245,92
193,3067,2020,Eric Bledsoe,911,282,328
196,3070,2020,Eric Paschall,837,275,127
198,3072,2020,Evan Fournier,1221,171,209
204,3078,2020,Fred VanVleet,952,203,357
217,3091,2020,Giannis Antetokounmpo,1857,856,354
222,3096,2020,Goran Dragić,953,187,301
223,3097,2020,Gordon Hayward,909,348,212
230,3104,2020,Harrison Barnes,1046,355,159
232,3106,2020,Hassan Whiteside,1040,905,78
244,3118,2020,J.J. Redick,917,151,119
247,3121,2020,Ja Morant,1193,259,488
267,3141,2020,Jamal Murray,1091,236,284
271,3145,2020,James Harden,2335,446,512
277,3151,2020,Jaren Jackson Jr.,990,262,78
289,3163,2020,Jaylen Brown,1159,364,118
292,3166,2020,Jayson Tatum,1547,460,200
299,3173,2020,Jerami Grant,851,248,88
308,3182,2020,Jimmy Butler,1157,386,350
311,3185,2020,Joe Harris,998,298,144
313,3187,2020,Joel Embiid,1172,593,152
314,3188,2020,John Collins,885,416,60
324,3198,2020,Jonas Valančiūnas,1044,788,131
330,3204,2020,Jordan Clarkson,1078,187,136
346,3220,2020,Jrue Holiday,1167,293,408
351,3225,2020,Julius Randle,1248,622,198
364,3238,2020,Karl-Anthony Towns,926,378,153
365,3239,2020,Kawhi Leonard,1543,402,280
372,3246,2020,Kelly Oubre Jr.,1046,361,85
373,3247,2020,Kemba Walker,1145,217,268
374,3248,2020,Kendrick Nunn,1024,180,220
383,3257,2020,Kevin Love,987,547,178
387,3261,2020,Khris Middleton,1297,382,265
391,3265,2020,Kristaps Porziņģis,1164,540,102
398,3272,2020,Kyle Lowry,1126,292,433
401,3275,2020,LaMarcus Aldridge,1001,392,129
407,3281,2020,LeBron James,1698,525,684
410,3284,2020,Lou Williams,1185,201,365
414,3288,2020,Luka Dončić,1759,573,538
418,3292,2020,Malcolm Brogdon,893,262,381
428,3302,2020,Marcus Morris,841,233,59
427,3301,2020,Marcus Morris,1033,311,86
433,3307,2020,Markelle Fultz,870,238,369
467,3341,2020,Miles Bridges,843,362,114
472,3346,2020,Montrezl Harrell,1173,445,107
480,3354,2020,Nemanja Bjelica,831,458,203
487,3361,2020,Nikola Jokić,1456,711,512
488,3362,2020,Nikola Vučević,1215,673,222
492,3366,2020,Norman Powell,830,190,91
501,3375,2020,Pascal Siakam,1371,439,207
507,3381,2020,Paul George,1033,272,185
523,3397,2020,Ricky Rubio,847,304,570
524,3398,2020,Robert Covington,870,463,88
536,3410,2020,Rudy Gobert,1026,916,101
538,3412,2020,Russell Westbrook,1553,451,401
544,3418,2020,Serge Ibaka,845,452,77
549,3423,2020,Shai Gilgeous-Alexander,1331,412,232
558,3432,2020,Spencer Dinwiddie,1318,221,432
567,3441,2020,T.J. Warren,1326,280,99
576,3450,2020,Terrence Ross,1016,222,82
577,3451,2020,Terry Rozier,1134,276,259
585,3459,2020,Tim Hardaway Jr.,1121,232,137
587,3461,2020,Tobias Harris,1411,495,227
592,3466,2020,Trae Young,1778,255,560
634,3508,2020,Will Barton,874,365,212
644,3518,2020,Zach LaVine,1530,289,254
